Sample no.,Plant family,Plant species,Plant Name,Exotic/Indigenous,Locality ,Latitude,Longitude,Altitude (m) ,Köppen-Geiger climate classification,Local Municipality ,District Municipality,Province,Tree/ground,Maturity stage,Date sampled,No. fruit ,Weight (gram),C-rosa-sensu-lato-count 
1,Myrtaceae,Acca sellowiana (O.Berg) Burret,Feijoa,Exotic,ARC-TSC Nelspruit,-25.452592,30.971381,670,Cwa,Mbombela,Ehlanzeni,Mpumalanga,Ground,Mature,23/02/2011,25,1071.9,197
2,Myrtaceae,Acca sellowiana (O.Berg) Burret,Feijoa,Exotic,ARC-TSC Nelspruit,-25.452592,30.971381,670,Cwa,Mbombela,Ehlanzeni,Mpumalanga,Ground,Mature,06/03/2014,26,566.5,59
3,Myrtaceae,Acca sellowiana (O.Berg) Burret,Feijoa,Exotic,ARC-TSC Nelspruit,-25.452592,30.971381,670,Cwa,Mbombela,Ehlanzeni,Mpumalanga,Tree,Mature,06/03/2014,20,470.7,25
4,Myrtaceae,Acca sellowiana (O.Berg) Burret,Feijoa,Exotic,ARC-TSC Nelspruit,-25.452592,30.971381,670,Cwa,Mbombela,Ehlanzeni,Mpumalanga,Tree and Ground,Mature,05/04/2014,33,591.5,62
5,Myrtaceae,Acca sellowiana (O.Berg) Burret,Feijoa,Exotic,ARC-TSC Nelspruit,-25.452592,30.971381,670,Cwa,Mbombela,Ehlanzeni,Mpumalanga,Tree,Mature,29/04/2014,11,294.6,57
6,Myrtaceae,Acca sellowiana (O.Berg) Burret,Feijoa,Exotic,ARC-TSC Nelspruit,-25.452592,30.971381,670,Cwa,Mbombela,Ehlanzeni,Mpumalanga,Ground,Mature,26/02/2015,24,745.8,64
7,Myrtaceae,Acca sellowiana (O.Berg) Burret,Feijoa,Exotic,ARC-TSC Nelspruit,-25.452592,30.971381,670,Cwa,Mbombela,Ehlanzeni,Mpumalanga,Tree,Mature,18/03/2015,20,629.8,74
8,Myrtaceae,Acca sellowiana (O.Berg) Burret,Feijoa,Exotic,ARC-TSC Nelspruit,-25.452592,30.971381,670,Cwa,Mbombela,Ehlanzeni,Mpumalanga,Ground,Mature,18/03/2015,43,1075.2,177
9,Myrtaceae,Acca sellowiana (O.Berg) Burret,Feijoa,Exotic,ARC-TSC Nelspruit,-25.452592,30.971381,670,Cwa,Mbombela,Ehlanzeni,Mpumalanga,Ground,Mature,14/04/2015,7,142,12
10,Myrtaceae,Acca sellowiana (O.Berg) Burret,Feijoa,Exotic,ARC-TSC Nelspruit,-25.452592,30.971381,670,Cwa,Mbombela,Ehlanzeni,Mpumalanga,Ground,Mature,19/02/2016,19,628.4,90
11,Myrtaceae,Acca sellowiana (O.Berg) Burret,Feijoa,Exotic,ARC-TSC Nelspruit,-25.452592,30.971381,670,Cwa,Mbombela,Ehlanzeni,Mpumalanga,Tree,Mature,02/03/2016,16,590,176
12,Myrtaceae,Acca sellowiana (O.Berg) Burret,Feijoa,Exotic,ARC-TSC Nelspruit,-25.452592,30.971381,670,Cwa,Mbombela,Ehlanzeni,Mpumalanga,Ground,Mature,02/03/2016,24,1036,10
13,Myrtaceae,Acca sellowiana (O.Berg) Burret,Feijoa,Exotic,ARC-TSC Nelspruit,-25.452592,30.971381,670,Cwa,Mbombela,Ehlanzeni,Mpumalanga,Tree,Mature,07/03/2016,39,842,136
